Name	C_inv	C_maint	C_op
NUCLEAR	262.711095	219.757655	0.000000
CCGT	0.000017	0.000009	0.000000
CCGT_AMMONIA	0.000017	0.000008	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV_ROOFTOP	188.461041	51.472885	0.000000
PV_UTILITY	161.877072	84.329909	0.000000
PT_POWER_BLOCK	0.000000	0.000000	0.000000
ST_POWER_BLOCK	0.000000	0.000000	0.000000
WIND_ONSHORE	252.016523	89.146000	0.000000
WIND_OFFSHORE	0.000000	0.000000	0.000000
HYDRO_DAM	1196.354522	205.672792	0.000000
HYDRO_RIVER	784.162299	250.495499	0.000000
TIDAL	0.000000	0.000000	0.000000
WAVE	0.000000	0.000000	0.000000
GEOTHERMAL	255.458585	99.590400	0.000000
IND_COGEN_GAS	0.000013	0.000017	0.000000
IND_COGEN_WOOD	0.000022	0.000015	0.000000
IND_COGEN_WASTE	0.000023	0.000017	0.000000
IND_BOILER_GAS	0.000018	0.000004	0.000000
IND_BOILER_WOOD	5.271236	1.309650	0.000000
IND_BOILER_OIL	0.000017	0.000005	0.000000
IND_BOILER_COAL	1.270009	0.315537	0.000000
IND_BOILER_WASTE	13.794174	3.427193	0.000000
IND_DIRECT_ELEC	48.597842	2.521413	0.000000
DHN_HP_ELEC	72.690758	45.654161	0.000000
DHN_COGEN_GAS	0.000015	0.000009	0.000000
DHN_COGEN_WOOD	0.000015	0.000011	0.000000
DHN_COGEN_WASTE	0.000019	0.000014	0.000000
DHN_COGEN_WET_BIOMASS	0.000007	0.000023	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000028	0.000017	0.000000
DHN_BOILER_GAS	0.000004	0.000001	0.000000
DHN_BOILER_WOOD	0.000008	0.000002	0.000000
DHN_BOILER_OIL	0.000004	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000013	0.000000	0.000000
DEC_HP_ELEC	444.835904	259.852088	0.000000
DEC_THHP_GAS	0.000022	0.000010	0.000000
DEC_COGEN_GAS	0.000015	0.000015	0.000000
DEC_COGEN_OIL	0.000015	0.000015	0.000000
DEC_ADVCOGEN_GAS	0.000026	0.000009	0.000000
DEC_ADVCOGEN_H2	0.000023	0.000006	0.000000
DEC_BOILER_GAS	0.000017	0.000006	0.000000
DEC_BOILER_WOOD	0.000025	0.000011	0.000000
DEC_BOILER_OIL	0.000013	0.000010	0.000000
DEC_SOLAR	0.000237	0.000043	0.000000
DEC_DIRECT_ELEC	0.000021	0.000001	0.000000
DEC_THHP_GAS_COLD	0.000018	0.000009	0.000000
DEC_ELEC_COLD	0.000060	0.000039	0.000000
IND_ELEC_COLD	7.291160	1.010892	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000	0.000000
BUS_COACH_DIESEL	608.141957	429.015979	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
TRAIN_PUB	2013.675348	2174.109974	0.000000
CAR_GASOLINE	0.000004	0.000002	0.000000
CAR_DIESEL	0.000003	0.000002	0.000000
CAR_NG	0.000005	0.000003	0.000000
CAR_METHANOL	0.000003	0.000002	0.000000
CAR_HEV	0.000003	0.000003	0.000000
CAR_PHEV	0.001273	0.000875	0.000000
CAR_BEV	7632.377555	1622.460281	0.000000
CAR_FUEL_CELL	0.000005	0.000001	0.000000
TRAIN_FREIGHT	11.625235	6.955281	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
