TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.025393	0.000000
CCGT	1951.316891	46.612537	25.000000	0.000000	2.362484	Infinity	0.000000	0.023479	1.000000	0.117373	0.955769	0.048263	434.200847
CCGT_AMMONIA	0.001127	0.000027	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001633	0.590000	0.048263	0.000251
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.862792	0.036934	0.000000
COAL_IGCC	0.002072	0.000030	35.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001689	0.850864	0.036934	0.000205
PV_ROOFTOP	20033.623894	264.079590	25.000000	0.000000	27.150000	27.150000	0.000000	0.259552	1.000000	0.112903	1.000000	0.048263	56510.824468
PV_UTILITY	10749.666148	270.277359	25.000000	0.000000	32.050000	32.050000	0.000000	0.308163	1.000000	0.113554	1.000000	0.048263	66709.831488
PT_POWER_BLOCK	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.048263	0.000000
ST_POWER_BLOCK	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.048263	0.000000
WIND_ONSHORE	11419.599999	168.200000	30.000000	0.000000	10.000000	10.000000	0.000000	0.200828	1.000000	0.237177	1.000000	0.041639	6228.499999
WIND_OFFSHORE	32143.799986	311.231988	30.000000	0.000000	6.000000	6.000000	0.000000	0.203417	1.000000	0.400393	1.000000	0.041639	3737.099998
HYDRO_DAM	0.015886	0.000079	40.000000	0.000000	0.000004	0.001000	0.000000	0.000000	1.000000	0.000000	1.000000	0.033427	0.006402
HYDRO_RIVER	580.165796	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.004560	1.000000	0.468338	1.000000	0.033427	145.224299
TIDAL	0.000000	0.000000	40.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.033427	0.000000
WAVE	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.058246	0.000000
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
IND_COGEN_GAS	7909.623833	479.368794	25.000000	0.000000	5.176117	Infinity	0.000000	0.489223	1.000000	0.816603	0.844900	0.048263	5301.999794
IND_COGEN_WOOD	0.000969	0.000033	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001912	0.844900	0.048263	0.000137
IND_COGEN_WASTE	0.001043	0.000036	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001123	0.844900	0.048263	0.000212
IND_BOILER_GAS	0.001364	0.000023	17.000000	0.000000	0.000019	Infinity	0.000000	0.000000	1.000000	0.033057	0.944300	0.067080	0.000238
IND_BOILER_WOOD	289.457407	4.824122	17.000000	0.000000	2.094179	Infinity	0.000000	0.207088	1.000000	0.854378	0.894600	0.067080	60.458945
IND_BOILER_OIL	0.000618	0.000011	17.000000	0.000000	0.000009	Infinity	0.000000	0.000000	1.000000	0.001800	0.944300	0.067080	0.000116
IND_BOILER_COAL	0.001001	0.000017	17.000000	0.000000	0.000007	Infinity	0.000000	0.000000	1.000000	0.019793	0.894600	0.067080	0.000349
IND_BOILER_WASTE	270.746984	4.512293	17.000000	0.000000	1.958812	Infinity	0.000000	0.193165	1.000000	0.852007	0.894600	0.067080	56.550900
IND_DIRECT_ELEC	3819.108014	14.850047	15.000000	0.000000	9.849916	Infinity	0.000000	0.110523	1.000000	0.096946	0.944300	0.074944	14.479377
DHN_HP_ELEC	2765.963381	83.842843	25.000000	0.000000	6.989522	Infinity	0.000000	1.000000	1.000000	0.622894	0.944300	0.048263	1221.698479
DHN_COGEN_GAS	0.001915	0.000053	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002507	0.844900	0.048263	0.000690
DHN_COGEN_WOOD	0.000689	0.000024	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000697	0.844900	0.048263	0.000097
DHN_COGEN_WASTE	0.000860	0.000030	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000542	0.844900	0.048263	0.000175
DHN_COGEN_WET_BIOMASS	0.000407	0.000062	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000782	0.745500	0.048263	0.000279
DHN_COGEN_BIO_HYDROLYSIS	0.001542	0.000069	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.002362	0.844900	0.074944	0.000203
DHN_BOILER_GAS	0.000151	0.000003	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000981	0.944300	0.067080	0.000026
DHN_BOILER_WOOD	0.000266	0.000004	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.001045	0.894600	0.067080	0.000056
DHN_BOILER_OIL	0.000139	0.000002	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000694	0.944300	0.067080	0.000026
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.041639	0.000000
DHN_SOLAR	0.000636	0.000001	30.000000	0.000000	0.000002	111.780000	0.000000	0.000000	1.000000	0.000878	1.000000	0.041639	0.000369
DEC_HP_ELEC	12776.305322	476.202524	18.000000	0.000000	22.621738	Infinity	0.000000	1.000000	1.000000	0.430337	1.000000	0.063806	3730.098418
DEC_THHP_GAS	0.002553	0.000067	20.000000	0.000000	0.000007	Infinity	0.000000	0.000000	1.000000	0.023934	1.000000	0.058246	0.002691
DEC_COGEN_GAS	0.001269	0.000077	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001954	1.000000	0.058246	0.000851
DEC_COGEN_OIL	0.000984	0.000057	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000826	1.000000	0.058246	0.000712
DEC_ADVCOGEN_GAS	0.002155	0.000043	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000819	1.000000	0.058246	0.000653
DEC_ADVCOGEN_H2	0.001888	0.000030	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000381	1.000000	0.058246	0.000451
DEC_BOILER_GAS	0.001093	0.000027	17.000000	0.000000	0.000006	Infinity	0.000000	0.000000	1.000000	0.001746	1.000000	0.067080	0.000121
DEC_BOILER_WOOD	0.001115	0.000033	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.001701	1.000000	0.067080	0.000042
DEC_BOILER_OIL	0.000851	0.000043	17.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.001136	1.000000	0.067080	0.000105
DEC_SOLAR	0.009824	0.000105	20.000000	0.000000	0.000013	111.780000	0.000000	0.000000	1.000000	0.006278	1.000000	0.058246	0.002869
DEC_DIRECT_ELEC	0.001200	0.000005	15.000000	0.000000	0.000028	Infinity	0.000000	0.000000	1.000000	0.001261	1.000000	0.074944	0.000040
DEC_THHP_GAS_COLD	0.000802	0.000023	20.000000	0.000000	0.000002	Infinity	0.000000	0.141364	1.000000	0.003664	1.000000	0.058246	0.000903
DEC_ELEC_COLD	0.002247	0.000094	18.000000	0.000000	0.000004	Infinity	0.000000	0.858636	1.000000	0.022254	1.000000	0.063806	0.000701
IND_ELEC_COLD	833.286768	6.729251	20.000000	0.000000	1.253119	Infinity	0.000000	1.000000	1.000000	0.950000	0.950000	0.058246	219.032729
TRAMWAY_TROLLEY	0.000000	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.342466	0.041639	0.000000
BUS_COACH_DIESEL	8401.037100	444.160909	15.000000	0.000000	14.536175	Infinity	0.000000	0.500000	1.000000	0.296804	0.296804	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.296804	0.074944	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.296804	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.296804	0.074944	0.000000
TRAIN_PUB	60240.800000	2174.109974	40.000000	40.000000	40.000000	Infinity	0.000000	0.500000	0.500000	0.107860	0.275073	0.033427	0.000000
CAR_GASOLINE	0.000082	0.000005	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000271	0.051370	0.108434	0.000000
CAR_DIESEL	0.000064	0.000004	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000251	0.051370	0.108434	0.000000
CAR_NG	0.000084	0.000005	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000207	0.051370	0.108434	0.000000
CAR_METHANOL	0.000056	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000382	0.051370	0.108434	0.000000
CAR_HEV	0.000066	0.000005	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000284	0.051370	0.108434	0.000000
CAR_PHEV	0.025056	0.001867	10.000000	0.000000	0.000055	Infinity	0.000000	0.000000	1.000000	0.017125	0.051370	0.108434	0.000000
CAR_BEV	72871.963485	1679.735461	10.000000	0.000000	167.973546	Infinity	0.000000	1.000000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000086	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000235	0.051370	0.108434	0.000000
TRAIN_FREIGHT	737.042669	14.740230	40.000000	0.000000	7.058443	Infinity	0.000000	1.000000	1.000000	0.342466	0.342466	0.033427	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.114155	0.033427	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.114155	0.033427	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.114155	0.033427	0.000000
