Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	94.177293	46.612537	0.000000
CCGT_AMMONIA	0.000054	0.000027	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000077	0.000030	0.000000
PV_ROOFTOP	966.891883	264.079590	0.000000
PV_UTILITY	518.816017	270.277359	0.000000
PT_POWER_BLOCK	0.000000	0.000000	0.000000
ST_POWER_BLOCK	0.000000	0.000000	0.000000
WIND_ONSHORE	475.502874	168.200000	0.000000
WIND_OFFSHORE	1338.441739	311.231988	0.000000
HYDRO_DAM	0.000531	0.000079	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
TIDAL	0.000000	0.000000	0.000000
WAVE	0.000000	0.000000	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	381.745765	479.368794	0.000000
IND_COGEN_WOOD	0.000047	0.000033	0.000000
IND_COGEN_WASTE	0.000050	0.000036	0.000000
IND_BOILER_GAS	0.000092	0.000023	0.000000
IND_BOILER_WOOD	19.416704	4.824122	0.000000
IND_BOILER_OIL	0.000041	0.000011	0.000000
IND_BOILER_COAL	0.000067	0.000017	0.000000
IND_BOILER_WASTE	18.161615	4.512293	0.000000
IND_DIRECT_ELEC	286.220589	14.850047	0.000000
DHN_HP_ELEC	133.494946	83.842843	0.000000
DHN_COGEN_GAS	0.000092	0.000053	0.000000
DHN_COGEN_WOOD	0.000033	0.000024	0.000000
DHN_COGEN_WASTE	0.000041	0.000030	0.000000
DHN_COGEN_WET_BIOMASS	0.000020	0.000062	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000116	0.000069	0.000000
DHN_BOILER_GAS	0.000010	0.000003	0.000000
DHN_BOILER_WOOD	0.000018	0.000004	0.000000
DHN_BOILER_OIL	0.000009	0.000002	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000026	0.000001	0.000000
DEC_HP_ELEC	815.202149	476.202524	0.000000
DEC_THHP_GAS	0.000149	0.000067	0.000000
DEC_COGEN_GAS	0.000074	0.000077	0.000000
DEC_COGEN_OIL	0.000057	0.000057	0.000000
DEC_ADVCOGEN_GAS	0.000126	0.000043	0.000000
DEC_ADVCOGEN_H2	0.000110	0.000030	0.000000
DEC_BOILER_GAS	0.000073	0.000027	0.000000
DEC_BOILER_WOOD	0.000075	0.000033	0.000000
DEC_BOILER_OIL	0.000057	0.000043	0.000000
DEC_SOLAR	0.000572	0.000105	0.000000
DEC_DIRECT_ELEC	0.000090	0.000005	0.000000
DEC_THHP_GAS_COLD	0.000047	0.000023	0.000000
DEC_ELEC_COLD	0.000143	0.000094	0.000000
IND_ELEC_COLD	48.535401	6.729251	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000	0.000000
BUS_COACH_DIESEL	629.610312	444.160909	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
TRAIN_PUB	2013.675348	2174.109974	0.000000
CAR_GASOLINE	0.000009	0.000005	0.000000
CAR_DIESEL	0.000007	0.000004	0.000000
CAR_NG	0.000009	0.000005	0.000000
CAR_METHANOL	0.000006	0.000003	0.000000
CAR_HEV	0.000007	0.000005	0.000000
CAR_PHEV	0.002717	0.001867	0.000000
CAR_BEV	7901.811450	1679.735461	0.000000
CAR_FUEL_CELL	0.000009	0.000001	0.000000
TRAIN_FREIGHT	24.637200	14.740230	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000	0.000000
TRUCK_DIESEL	0.000004	0.000003	0.000000
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	0.000130	0.000049	0.000000
TRUCK_ELEC	0.000011	0.000004	0.000000
TRUCK_NG	2085.358694	1453.265751	0.000000
HABER_BOSCH	0.000047	0.000014	0.000000
OIL_TO_HVC	0.000079	0.000005	0.000000
GAS_TO_HVC	0.000039	0.000018	0.000000
BIOMASS_TO_HVC	0.000085	0.000023	0.000000
METHANOL_TO_HVC	221.073631	300.145086	0.000000
SYN_METHANOLATION	0.000068	0.000021	0.000000
METHANE_TO_METHANOL	0.000047	0.000033	0.000000
BIOMASS_TO_METHANOL	0.000110	0.000015	0.000000
DAM_STORAGE	0.000000	0.000000	0.000000
PHS	19.890072	0.000000	0.000000
BATT_LI	0.000295	0.000005	0.000000
BEV_BATT	0.000000	0.000000	0.000000
