source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,0.08,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,0.08,Ammonia,#000ECD,TWh
Wood,Gasifi. to Methanol,0.08,Wood,#CD853F,TWh
Gasifi. to Methanol,Elec,0.00,Electricity,#00BFFF,TWh
Gasifi. to Methanol,DHN,0.02,DHN,#FA8072,TWh
Gasifi. to Methanol,Methanol,0.05,Methanol,#CC0066,TWh
Methanol,Non-energy demand,0.05,Methanol,#CC0066,TWh
Wood,Gasifi. to HVC,2.08,Wood,#CD853F,TWh
Elec,Gasifi. to HVC,0.02,Electricity,#00BFFF,TWh
Heat HT,Gasifi. to HVC,0.05,Heat HT,#DC143C,TWh
Gasifi. to HVC,HVC,0.87,HVC,#00FFFF,TWh
HVC,Non-energy demand,0.87,HVC,#00FFFF,TWh
Imp. Bio-diesel,Diesel,9.69,Diesel,#D3D3D3,TWh
Diesel,Mob public,9.69,Diesel,#D3D3D3,TWh
Imp. Gas,Gas,7.18,Gas,#FFD700,TWh
Imp. Gas RE,Gas sto.,0.00,GAS,#FFD700,TWh
Imp. Gas,Gas sto.,0.21,GAS,#FFD700,TWh
Gas sto.,Gas,0.21,GAS,#FFD700,TWh
Gas,Freight,10.04,GAS,#FFD700,TWh
Uranium,Elec,42.97,Nuclear,#FFC0CB,TWh
Wind,Elec,10.68,Wind,#27AE34,TWh
Hydro River,Elec,19.72,Hydro River,#0000FF,TWh
Hydro Dams,Elec,17.46,Hydro Dam,#0000FF,TWh
Coal,Boilers,1.00,Coal,#A0522D,TWh
Solar,Elec,5.24,Solar,#FFFF00,TWh
Solar,Elec,9.90,Solar,#FFFF00,TWh
CSP,Elec,0.00,Solar,#FFFF00,TWh
CSP,Elec,0.00,Solar,#FFFF00,TWh
Geothermal,Elec,5.21,Geothermal,#FF0000,TWh
Waste,Boilers,11.14,Waste,#808000,TWh
Wood,Boilers,3.84,Wood,#CD853F,TWh
Wet biomass,Biomethanation,6.28,Wood,#CD853F,TWh
Biomethanation,Gas,2.66,GAS,#FFD700,TWh
Biomethanation,Elec,0.25,Electricity,#00BFFF,TWh
Elec,Mob priv,11.75,Electricity,#00BFFF,TWh
Elec,Mob public,2.37,Electricity,#00BFFF,TWh
Elec,Freight,0.68,Electricity,#00BFFF,TWh
Elec,Exp & Loss,3.96,Electricity,#00BFFF,TWh
Elec,Elec demand,22.40,Electricity,#00BFFF,TWh
Elec,Storage,14.66,Electricity,#00BFFF,TWh
Storage,Elec demand,14.21,Electricity,#00BFFF,TWh
Elec,HPs,19.49,Electricity,#00BFFF,TWh
Elec,refrig. cycles,0.78,Electricity,#00BFFF,TWh
Elec,Heat HT,5.94,Electricity,#00BFFF,TWh
Elec,Electrolyser,0.83,Electricity,#00BFFF,TWh
Heat HT,Electrolyser,0.15,Heat HT,#DC143C,TWh
Electrolyser,H2 prod,0.77,Electricity,#00BFFF,TWh
Electrolyser,DHN,0.01,Heat LT,#FA8072,TWh
Imp. H2 RE,H2,4.93,H2,#FF00FF,TWh
H2 prod,H2 sto.,0.01,H2,#FF00FF,TWh
H2 sto.,H2,0.01,H2,#FF00FF,TWh
H2 prod,H2,0.77,H2,#FF00FF,TWh
H2,Freight,5.70,H2,#FF00FF,TWh
HPs,Dec. sto,11.35,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,32.45,Heat LT,#FA8072,TWh
HPs,DHN,19.58,Heat LT,#FA8072,TWh
refrig. cycles,PROCESS_COOLING,1.57,PROCESS_COOLING,#FA8072,TWh
Dec. sto,Heat LT Dec,10.28,Heat LT,#FA8072,TWh
Boilers,Heat HT,13.28,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,12.81,Heat LT,#FA8072,TWh
DHN,Loss DHN,0.98,Heat LT,#FA8072,TWh
DHN,DHN Sto,5.81,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,5.50,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,19.02,Heat HT,#DC143C,TWh
