source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia,Ammonia,0.08,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,0.08,Ammonia,#000ECD,TWh
Gas,Methane-to-Methanol,0.08,Gas,#FFD700,TWh
Methane-to-Methanol,Methanol,0.05,Methanol,#CC0066,TWh
Methanol,Non-energy demand,0.05,Methanol,#CC0066,TWh
Oil,NSC,1.59,Naphtha,#8B008B,TWh
Elec,NSC,0.02,Electricity,#00BFFF,TWh
Heat HT,NSC,0.02,Heat HT,#DC143C,TWh
NSC,HVC,0.87,HVC,#00FFFF,TWh
HVC,Non-energy demand,0.87,HVC,#00FFFF,TWh
Imp. Diesel,Diesel,9.69,Diesel,#D3D3D3,TWh
Diesel,Mob public,9.69,Diesel,#D3D3D3,TWh
Imp. Gas,Gas,53.16,Gas,#FFD700,TWh
Imp. Gas,Gas sto.,16.30,GAS,#FFD700,TWh
Gas sto.,Gas,15.98,GAS,#FFD700,TWh
Gas,Freight,17.69,GAS,#FFD700,TWh
Gas,HPs,38.40,GAS,#FFD700,TWh
Gas,Boilers,14.94,GAS,#FFD700,TWh
Uranium,Elec,42.95,Nuclear,#FFC0CB,TWh
Wind,Elec,0.20,Wind,#27AE34,TWh
Hydro River,Elec,16.11,Hydro River,#0000FF,TWh
Hydro Dams,Elec,16.56,Hydro Dam,#0000FF,TWh
Solar,Elec,9.09,Solar,#FFFF00,TWh
CSP,Elec,0.00,Solar,#FFFF00,TWh
CSP,Elec,0.00,Solar,#FFFF00,TWh
Imp. Oil,Oil,1.59,Oil,#8B008B,TWh
Wood,Boilers,6.00,Wood,#CD853F,TWh
Wet biomass,Biomethanation,6.28,Wood,#CD853F,TWh
Biomethanation,Gas,1.88,GAS,#FFD700,TWh
Elec,Mob priv,11.75,Electricity,#00BFFF,TWh
Elec,Mob public,2.37,Electricity,#00BFFF,TWh
Elec,Freight,0.68,Electricity,#00BFFF,TWh
Elec,Exp & Loss,2.72,Electricity,#00BFFF,TWh
Elec,Elec demand,26.09,Electricity,#00BFFF,TWh
Elec,Storage,10.80,Electricity,#00BFFF,TWh
Storage,Elec demand,10.53,Electricity,#00BFFF,TWh
Elec,HPs,1.22,Electricity,#00BFFF,TWh
Elec,refrig. cycles,0.78,Electricity,#00BFFF,TWh
HPs,Dec. sto,15.16,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,42.43,Heat LT,#FA8072,TWh
HPs,DHN,4.87,Heat LT,#FA8072,TWh
refrig. cycles,PROCESS_COOLING,1.57,PROCESS_COOLING,#FA8072,TWh
Dec. sto,Heat LT Dec,14.03,Heat LT,#FA8072,TWh
Boilers,Heat HT,19.04,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,3.32,Heat LT,#FA8072,TWh
DHN,Loss DHN,0.24,Heat LT,#FA8072,TWh
DHN,DHN Sto,1.31,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,1.26,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,19.02,Heat HT,#DC143C,TWh
