source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia,Ammonia,9.42,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,9.42,Ammonia,#000ECD,TWh
Gas,Methane-to-Methanol,2.16,Gas,#FFD700,TWh
Methane-to-Methanol,Methanol,1.42,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.42,Methanol,#CC0066,TWh
Oil,NSC,69.37,Naphtha,#8B008B,TWh
Elec,NSC,0.81,Electricity,#00BFFF,TWh
Heat HT,NSC,0.66,Heat HT,#DC143C,TWh
NSC,HVC,38.15,HVC,#00FFFF,TWh
HVC,Non-energy demand,38.15,HVC,#00FFFF,TWh
Imp. Diesel,Diesel,62.16,Diesel,#D3D3D3,TWh
Diesel,Mob public,62.16,Diesel,#D3D3D3,TWh
Imp. Gas,Gas,251.93,Gas,#FFD700,TWh
Imp. Gas RE,Gas sto.,0.00,GAS,#FFD700,TWh
Imp. Gas,Gas sto.,70.32,GAS,#FFD700,TWh
Gas sto.,Gas,68.93,GAS,#FFD700,TWh
Gas,Freight,133.12,GAS,#FFD700,TWh
Gas,Elec,78.62,GAS,#FFD700,TWh
Gas,HPs,103.24,GAS,#FFD700,TWh
Gas,refrig. cycles,13.84,GAS,#FFD700,TWh
Gas,Boilers,2.53,GAS,#FFD700,TWh
Electricity,Elec,8.83,Electricity,#00BFFF,TWh
Wind,Elec,115.44,Wind,#27AE34,TWh
Hydro River,Elec,7.59,Hydro River,#0000FF,TWh
Hydro Dams,Elec,6.63,Hydro Dam,#0000FF,TWh
Coal,Boilers,35.00,Coal,#A0522D,TWh
Solar,Elec,11.10,Solar,#FFFF00,TWh
Solar,Elec,150.45,Solar,#FFFF00,TWh
Solar,CSP,45.91,Solar,#FFFF00,TWh
CSP,Elec,21.91,Solar,#FFFF00,TWh
CSP,Elec,0.00,Solar,#FFFF00,TWh
Waste,Boilers,5.10,Waste,#808000,TWh
Imp. Oil,Oil,69.37,Oil,#8B008B,TWh
Wood,Boilers,99.91,Wood,#CD853F,TWh
Wet biomass,Biomethanation,41.21,Wood,#CD853F,TWh
Biomethanation,Gas,12.32,GAS,#FFD700,TWh
Elec,Mob priv,53.21,Electricity,#00BFFF,TWh
Elec,Mob public,6.25,Electricity,#00BFFF,TWh
Elec,Freight,5.14,Electricity,#00BFFF,TWh
Elec,Exp & Loss,17.43,Electricity,#00BFFF,TWh
Elec,Curt.,0.13,Electricity,#00BFFF,TWh
Elec,Elec demand,109.34,Electricity,#00BFFF,TWh
Solar,Curt.,0.34,Solar,#FFFF00,TWh
Wind,Curt.,0.16,Wind,#27AE34,TWh
Elec,Storage,26.44,Electricity,#00BFFF,TWh
Storage,Elec demand,20.54,Electricity,#00BFFF,TWh
Elec,HPs,20.83,Electricity,#00BFFF,TWh
Elec,refrig. cycles,75.75,Electricity,#00BFFF,TWh
Elec,Dec. sto,25.06,Electricity,#00BFFF,TWh
Elec,Heat LT Dec,8.81,Electricity,#00BFFF,TWh
Elec,Heat HT,14.66,Electricity,#00BFFF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,0.00,H2,#FF00FF,TWh
HPs,Dec. sto,33.03,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,121.83,Heat LT,#FA8072,TWh
HPs,DHN,83.33,Heat LT,#FA8072,TWh
refrig. cycles,COLD_HIGH_T_SC,193.80,SPACE_COOLING,#FA8072,TWh
refrig. cycles,PROCESS_COOLING,12.05,PROCESS_COOLING,#FA8072,TWh
Dec. sto,Heat LT Dec,52.24,Heat LT,#FA8072,TWh
Boilers,Heat HT,121.60,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,48.55,Heat LT,#FA8072,TWh
DHN,Loss DHN,4.17,Heat LT,#FA8072,TWh
DHN,DHN Sto,30.62,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,29.83,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,135.61,Heat HT,#DC143C,TWh
