source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,10.29,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.29,Ammonia,#000ECD,TWh
Imp. Methanol RE,Methanol,53.24,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.55,Methanol,#CC0066,TWh
Methanol,MTO,51.69,Methanol,#CC0066,TWh
Heat HT,MTO,13.74,Heat HT,#DC143C,TWh
MTO,HVC,41.65,HVC,#00FFFF,TWh
HVC,Non-energy demand,41.65,HVC,#00FFFF,TWh
Imp. Diesel,Diesel,2.84,Diesel,#D3D3D3,TWh
Imp. Bio-diesel,Diesel,7.20,Diesel,#D3D3D3,TWh
Diesel,Mob public,10.03,Diesel,#D3D3D3,TWh
Imp. Gas,Gas,96.87,Gas,#FFD700,TWh
Imp. Gas RE,Gas sto.,0.00,GAS,#FFD700,TWh
Imp. Gas,Gas sto.,13.16,GAS,#FFD700,TWh
Gas sto.,Gas,12.90,GAS,#FFD700,TWh
Gas,Freight,37.48,GAS,#FFD700,TWh
Gas,Elec,3.86,GAS,#FFD700,TWh
Gas,CHP,80.49,GAS,#FFD700,TWh
Electricity,Elec,36.34,Electricity,#00BFFF,TWh
Wind,Elec,41.82,Wind,#27AE34,TWh
Hydro River,Elec,0.47,Hydro River,#0000FF,TWh
Solar,Elec,28.23,Solar,#FFFF00,TWh
Solar,Elec,33.33,Solar,#FFFF00,TWh
CSP,Elec,0.00,Solar,#FFFF00,TWh
CSP,Elec,0.00,Solar,#FFFF00,TWh
Waste,Boilers,17.83,Waste,#808000,TWh
Wood,Boilers,18.13,Wood,#CD853F,TWh
Wet biomass,Biomethanation,28.36,Wood,#CD853F,TWh
Biomethanation,Gas,12.00,GAS,#FFD700,TWh
Biomethanation,Elec,1.13,Electricity,#00BFFF,TWh
Elec,Mob priv,12.17,Electricity,#00BFFF,TWh
Elec,Mob public,2.45,Electricity,#00BFFF,TWh
Elec,Freight,1.45,Electricity,#00BFFF,TWh
Elec,Exp & Loss,8.29,Electricity,#00BFFF,TWh
Elec,Curt.,1.25,Electricity,#00BFFF,TWh
Elec,Elec demand,96.37,Electricity,#00BFFF,TWh
Solar,Curt.,2.83,Solar,#FFFF00,TWh
Wind,Curt.,1.14,Wind,#27AE34,TWh
Elec,Storage,1.21,Electricity,#00BFFF,TWh
Storage,Elec demand,0.91,Electricity,#00BFFF,TWh
Elec,HPs,37.96,Electricity,#00BFFF,TWh
Elec,refrig. cycles,5.18,Electricity,#00BFFF,TWh
Elec,HT sto,3.33,Electricity,#00BFFF,TWh
HT sto,Heat HT,3.32,Heat HT,#DC143C,TWh
Elec,Heat HT,5.04,Electricity,#00BFFF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,-0.00,H2,#FF00FF,TWh
CHP,Elec,35.42,Electricity,#00BFFF,TWh
CHP,Heat HT,37.03,Heat HT,#DC143C,TWh
HPs,Dec. sto,19.97,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,65.31,Heat LT,#FA8072,TWh
HPs,DHN,38.14,Heat LT,#FA8072,TWh
refrig. cycles,PROCESS_COOLING,10.43,PROCESS_COOLING,#FA8072,TWh
Dec. sto,Heat LT Dec,18.53,Heat LT,#FA8072,TWh
Boilers,Heat HT,30.29,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,23.20,Heat LT,#FA8072,TWh
DHN,Loss DHN,1.91,Heat LT,#FA8072,TWh
DHN,DHN Sto,13.03,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,12.73,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,61.93,Heat HT,#DC143C,TWh
